word,score
것 마져도,1,것,의존명사,0,1,마져,보조사,2,4,도,보조사,4,5
제일 먼저,5,제일,일반부사,0,2,먼저,일반부사,3,5
가능킨,1,가능,일반명사,0,2,하,동사파생접미사,2,3,기,명사형전성어미,2,3,ᆫ,보조사,2,3
m 를,1,m,알파벳,0,1,를,목적격조사,2,3
될거아냐,3,되,동사,0,1,ᆯ,관형사형전성어미,0,1,거,의존명사,1,2,아니,부정지정사,2,4,야,종결어미,3,4
에 기도한,4,에,부사격조사,0,1,기도,일반명사,2,4,하,동사파생접미사,3,4,ᆫ,관형사형전성어미,3,4
