word,category,score,memo
또라이,일반명사,,
싱크로,일반명사,,
결정면,일반명사,-2,
집속,일반명사,-1,
주중,일반명사,,
증조부 대,일반명사,,
고해,일반명사,,
굳은살,일반명사,,
파밍,일반명사,,
새천년,일반명사,,
두벌식,일반명사,,
보정,일반명사,,
앞뒤,일반명사,2,
날줄,일반명사,-5,
씨줄,일반명사,-5,
제한,일반명사,,
인카운트,일반명사,,
인파이트,일반명사,,
인게임,일반명사,,
과금,일반명사,-2,
적중,일반명사,-1,
가능성,일반명사,5,
진화,일반명사,,
주살,일반명사,-3,
함내,일반명사,-1,
마경,일반명사,-1,
큰돈,일반명사,3,
의용대,일반명사,,
직격,일반명사,,
미친놈,일반명사,,
의수,일반명사,-1,
왕중왕,일반명사,-3,
돼지치기,일반명사,-3,
머신건,일반명사,,
제패니즈,일반명사,,
천벌,일반명사,,
발연점,일반명사,,
쌍격,일반명사,,
비상시,일반명사,1,
샷건,일반명사,,
미니건,일반명사,-2,
조준경,일반명사,,
스플래시,일반명사,,
킬,일반명사,-1,
쓴소리,일반명사,2,
점자,일반명사,,
보통화,일반명사,-2,
강등,일반명사,,
광속,일반명사,,
반등,일반명사,-2,
사내,일반명사,,
본편,일반명사,,
납도,일반명사,-2,
발도,일반명사,-2,
무드등,일반명사,-2,
감시등,일반명사,-2,
안개등,일반명사,-2,
안내등,일반명사,-2,
조명등,일반명사,-2,
풍등,일반명사,-2,
수면등,일반명사,-2,
경광등,일반명사,-2,
접촉면,일반명사,,
정의관,일반명사,,
증속,일반명사,-2,
독심,일반명사,-2,
절대신,일반명사,-4,
진물,일반명사,-1,
바른길,일반명사,3,
분탕,일반명사,,
부재중,일반명사,5,
의체,일반명사,-2,
혈중,일반명사,,
형상,일반명사,-2,
사자후,일반명사,-1,
연리지,일반명사,,
궂은일,일반명사,,
스콜피온,일반명사,,
뻘짓,일반명사,,
태내,일반명사,,
위쪽,일반명사,,
재주넘기,일반명사,,
이스터 에그,일반명사,,
입안,일반명사,5,
죽을병,일반명사,,
남고생,일반명사,-2,
남중,일반명사,-2,
남고,일반명사,-2,
의무관,일반명사,,
손안,일반명사,3,
가지치기,일반명사,,
성안,일반명사,3,
남보라색,일반명사,,
먼바다,일반명사,,
백리향,일반명사,-2,
몸속,일반명사,8,
본모습,일반명사,,
형제자매,일반명사,,
단위,일반명사,,
련,일반명사,-2,
큰애,일반명사,,
작은애,일반명사,,
싼값,일반명사,4,
해적,일반명사,-1,
방면,일반명사,,
떡밥,일반명사,,
전후반,일반명사,,우리말샘 등재
군체,일반명사,,
척후,일반명사,-2,
대활약,일반명사,,
이때,일반명사,3,
헛것,일반명사,,
무전,일반명사,,
도중,일반명사,,
그다음,일반명사,,
즉살,일반명사,,
수합,일반명사,,收合
가보,일반명사,,
차등,일반명사,-2,
취역,일반명사,,
항속,일반명사,-2,
이곳,일반명사,1,
그곳,일반명사,1,
저곳,일반명사,1,
연타석,일반명사,,
자기중심,일반명사,-10,'자기중심적'으로 분석되도록 조정
무게중심,일반명사,,
도주로,일반명사,,
한동안,일반명사,,
이명,일반명사,,
판돈,일반명사,-1,
지고천,일반명사,-5,
옛것,일반명사,,
공중,일반명사,,
공서양속,일반명사,,
손등,일반명사,,
칼치기,일반명사,-2,
저지력,일반명사,,
용자,일반명사,,
산탄총,일반명사,,
피탄,일반명사,,
특훈,일반명사,,
일정표,일반명사,-2,
진형,일반명사,,
산제물,일반명사,,
의동생,일반명사,,
찌질이,일반명사,,
백전노장,일반명사,,
손속,일반명사,,
할아범,일반명사,,
수기,일반명사,-1,
산업재,일반명사,-1,
정형시,일반명사,,
단선,일반명사,,
견원지간,일반명사,,

리시빙,일반명사,,
드러그,일반명사,-1,
키맵,일반명사,-1,
열것값,일반명사,,variant
컴파일,일반명사,,
디컴파일,일반명사,,
마이크로초,일반명사,,
비트맵,일반명사,,
오버라이드,일반명사,,
매크로,일반명사,,
빌드,일반명사,,
난수,일반명사,-2,亂數
미니맵,일반명사,,
월드맵,일반명사,,
매그넘,일반명사,-1,
에피,일반명사,-2,에피소드의 준말
기존쎄,일반명사,-3,신조어
떡상,일반명사,-3,신조어
극대노,일반명사,-3,신조어
지못미,일반명사,-5,신조어
키덜트,일반명사,-3,신조어
현질,일반명사,-1,신조어
먼치킨,일반명사,-2,신조어
템,일반명사,-3,신조어
반갈죽,일반명사,-5,신조어
내로남불,일반명사,-3,신조어
고인물,일반명사,-5,신조어
틀딱,일반명사,-5,신조어

소요시간,일반명사,,붙여쓰기도 허용

대학수학능력시험,고유명사,5,
한국어능력시험,고유명사,,
알리오 에 올리오,고유명사,,
나기나타,고유명사,-3,,
백개먼,고유명사,-3,,

등등,의존명사,10,

뒤따라오,동사,,
본뜨,동사,,
까매지,동사,,
파래지,동사,,
퍼레지,동사,,
입조심하,동사,,
그만하,동사,3,
게을리하,동사,,
헛걸음하,동사,,
머지않,동사,,
겁먹,동사,,
고쳐먹,동사,3,
말아먹,동사,5,
얻어먹,동사,5,
따먹,동사,3,
잡아먹,동사,5,
얻어먹,동사,,
집어먹,동사,5,
받아먹,동사,5,
놀고먹,동사,5,
떼먹,동사,5,
뜯어먹,동사,5,
털어먹,동사,5,
빨아먹,동사,5,
배짱부리,동사,,
성질부리,동사,,
심술부리,동사,,
욕심부리,동사,,
고집부리,동사,,
주접부리,동사,,
퉁명부리,동사,,
극성부리,동사,,
기승부리,동사,,
기세부리,동사,,
좋아하,동사,3,
불어닥치,동사,3,
갖다주,동사,,
떠내려오,동사,5,
흘러넘치,동사,,
돌아다니,동사,,
쫓아다니,동사,,
굴러다니,동사,,
넘쳐흐르,동사,3,
깎아내리,동사,,
갈고닦,동사,5,
먹고살,동사,10,
걷어차이,동사,,
끌어올리,동사,,
치고받,동사,,
주고받,동사,5,
얻어맞,동사,,
알아차리,동사,,
몰아쉬,동사,5,
헛소리하,동사,,
날아오르,동사,,
내려보내,동사,,
따라가,동사,5,
찾아가,동사,5,
찾아오,동사,5,
덮어쓰,동사,,
녹아내리,동사,,
돌아오,동사,3,
가져오,동사,3,
따라오,동사,3,
떠안기,동사,,
밀어붙이,동사,,
지켜보,동사,5,
살펴보,동사,5,
긁어모으,동사,5,
그러모으,동사,5,
끌어모으,동사,5,
굴러떨어지,동사,5,
불러들이,동사,5,
살아남,동사,5,
빠져나오,동사,10,
빠져나가,동사,10,
들고나오,동사,5,
타고나,동사,5,
와닿,동사,10,
앞서가,동사,5,
기어다니,동사,5,
좁아터지,동사,5,
맞닥트리,동사,5,
꿰뚫리,동사,5,
잡아당기,동사,10,
멀어지,동사,,
내버려두,동사,10,
데려오,동사,5,
들어오,동사,5,
넘쳐흐르,동사,5,
찾아다니,동사,5,
날아오르,동사,5,
까이,동사,,
뒤로하,동사,10,
팔아넘기,동사,5,
남아돌,동사,,
내버려두,동사,10,
그만두,동사,5,
놓아두,동사,5,
버려두,동사,5,
떠나보내,동사,10,
이어받,동사,5,
따라다니,동사,5,
날아다니,동사,5,
지나다니,동사,5,
잡아끌,동사,5,
내걸,동사,,
내려가,동사,,
날아가,동사,,
못쓰,동사,3,
비켜서,동사,3,
돌아가,동사,3,
잡혀가,동사,5,
찾아가,동사,5,
흘러나오,동사,5,
흘러내리,동사,5,
녹아내리,동사,5,
잡아넣,동사,5,
욱여넣,동사,5,
몰아넣,동사,5,
불어넣,동사,5,
앓아눕,동사,5,
끌려다니,동사,5,
목매달,동사,5,
끌어당기,동사,5,
거둬들이,동사,5,
맞아떨어지,동사,5,
물어뜯,동사,5,
불러모으,동사,5,
찢어발기,동사,5,
흘려보내,동사,5,
되돌려받,동사,5,
찾아뵙,동사,5,
찾아뵈,동사,5,
옮겨붙,동사,5,
쏴붙이,동사,5,
말라비틀어지,동사,5,
굽어살피,동사,5,
사고팔,동사,10,
움켜쥐,동사,5,
때려죽이,동사,5,
나눠주,동사,5,
가져다주,동사,5,
차려입,동사,5,
불러일으키,동사,5,
날아오르,동사,5,
쫓아오,동사,5,
가져오,동사,5,
잡아오,동사,5,
낡,동사,,
이어나가,동사,10,붙여쓰기도 허용이므로 단어 등록
갈려나가,동사,10,붙여쓰기도 허용이므로 단어 등록
빠져나가,동사,10,
잘나가,동사,10,
잘하,동사,5,
반질거리,동사,5,
깜짝하,동사,13,
적,동사,1,
집어넣,동사,5,
풀어쓰,동사,5,
열,동사,1,
만나,동사,1,
도망가,동사,5,
회오리치,동사,3,
어찌하,동사,10,
잘살,동사,,
잘못되,동사,12,
잘못하,동사,12,
잘나,동사,2,
못살,동사,,
야단치,동사,,
같이하,동사,10,
피식하,동사,,
장난치,동사,,
똑딱거리,동사,,
지리,동사,,
뒤집어쓰,동사,4,
떼쓰,동사,,
줄행랑치,동사,,
몸부림치,동사,5,
아우성치,동사,,
뒤집어쓰,동사,4,
썰리,동사,,
되감기,동사,,
뻥치,동사,,
헛치,동사,,
시집가,동사,3,
망가트리,동사,,
돌려쓰,동사,,
땡땡이치,동사,3,
손쓰,동사,3,
맞장구치,동사,5,

쏟아붓,동사규칙활용,5,
몸져눕,동사규칙활용,5,
귀담아듣,동사규칙활용,5,
새겨듣,동사규칙활용,5,
갈아입,동사불규칙활용,5,
짜깁,동사불규칙활용,2,

그만하,형용사,,
복슬복슬하,형용사,,
적잖,형용사,5
같잖,형용사,5
뜻깊,형용사,5
엿같,형용사,5,
꿈같,형용사,8,
주옥같,형용사,8,
실낱같,형용사,8,
뚱딴지같,형용사,8,
철통같,형용사,8,
벼락같,형용사,8,
목석같,형용사,8,
쏜살같,형용사,8,
한결같,형용사,8,
감쪽같,형용사,8,
불꽃같,형용사,8,
찰떡같,형용사,8,
악착같,형용사,8,
철벽같,형용사,8,
굴뚝같,형용사,8,
칼같,형용사,8,
더없,형용사,,
난만하,형용사,,
삿되,형용사,,
못생기,형용사,3,
잘생기,형용사,3,
덜하,형용사,5,
비등비등하,형용사,5,
꼴좋,형용사,,
사이좋,형용사,,
개같,형용사,5,
수많,형용사,5,
덜되,형용사,5,
좆같,형용사,5,
얼토당토않,형용사,5,

법하,보조용언,,

덧없,형용사,,
덧없이,일반부사,,

본척만척,일반부사,,
본척만척하,동사,,
본체만체,일반부사,,
본체만체하,동사,,

참다못하,동사,,
듣다못하,동사,,
참다못해,일반부사,,
듣다못해,일반부사,,

보잘것없,형용사,10,
보잘것없이,일반부사,10,

귀신같,형용사,,
귀신같이,일반부사,,
불같,형용사,,
불같이,일반부사,,

복슬복슬,일반부사,,
푸하하하,일반부사,,
매일매일,일반부사,,
한번,일반부사,,
어느새,일반부사,5,
씩,일반부사,,
기승전,일반부사,-10,
어느덧,일반부사,,
딸각,일반부사,,
여러모로,일반부사,10,
되는대로,일반부사,5,
바른대로,일반부사,5,
정도껏,일반부사,5,
이같이,일반부사,,
조금씩,일반부사,,
비등비등,일반부사,,
아주아주,일반부사,3,
후덜덜,일반부사,,
이제,일반부사,2,
건너건너,일반부사,2,붙여쓰기도 허용

한두,관형사,3,
두세,관형사,3,
다다음,관형사,3,

햇,체언접두사,,
폐,체언접두사,,
잔,체언접두사,5,
선,체언접두사,,
준,체언접두사,,
최,체언접두사,,
인,체언접두사,-2,
잡,체언접두사,,
마,체언접두사,-1,

식,명사파생접미사,,
선,명사파생접미사,,
가량,명사파생접미사,5,
쯤,명사파생접미사,13,
전,명사파생접미사,0,
털이,명사파생접미사,,
민,명사파생접미사,,
마,명사파생접미사,,
류,명사파생접미사,,
작,명사파생접미사,,

차,부사파생접미사,,

되,연결어미,,
라는,연결어미,10,
라면,연결어미,5,
사와,연결어미,,
다가는,연결어미,,
다간,연결어미,5,
답시고,연결어미,,
ᆫ지,연결어미,,
ᆫ지,종결어미,,
ᆫ걸,종결어미,1,
고말고,종결어미,1,
으로든,연결어미,,

이며,접속조사,10,
에서,부사격조사,5,
에다가,부사격조사,7,
로써,부사격조사,2,

치근,어근,,
치근덕,어근,,
우러,어근,,
나타,어근,-1,
찌뿌둥,어근,,
두근,어근,-1
알짱알짱,어근,,
믿음직,어근,10,
먹음직,어근,10,
야시시,어근,,
순둥,어근,,비표준어
방만,어근,-2,
쪼물딱,어근,,

케켁,감탄사,,

하술,일반명사,,비표준어
땡중,일반명사,,비표준어

긋,선어말어미,-10,방언
비스무리,일반명사,,방언
비스무레,일반명사,-5,오타 검출용
혼내키,동사,-2,방언
쎄하,형용사,-1,방언
얼척,어근,,방언
짜리몽땅,어근,,방언
짜리몽당,어근,,방언

1,숫자,0,형태소 분해용
3,숫자,,형태소 분해용
.,종결부호,0,형태소 분해용
